Date;Visits;Value;FacetId1;FacetId2;FacetId3
20090111;18;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090112;20;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090113;18;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090114;26;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090115;12;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090116;16;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090117;9;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090118;8;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090119;16;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090120;16;205;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090121;14;200;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090121;1;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090122;5;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090122;25;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090123;19;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090123;8;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090124;7;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090124;2;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090125;6;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090125;2;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090126;5;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090126;21;205;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090127;21;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090127;10;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090128;10;150;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090128;27;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090129;10;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090129;13;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090130;19;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090130;8;110;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090131;9;5;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090131;10;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090201;10;5;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090201;16;10;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090202;19;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090202;17;40;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090203;25;140;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090203;29;205;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090204;7;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090204;23;105;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090205;13;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090205;21;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090206;22;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090206;8;110;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090207;10;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090207;8;5;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090208;4;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090208;10;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090209;29;110;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090209;16;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090210;23;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090210;9;25;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090211;28;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090211;11;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090212;17;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090212;26;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090213;16;30;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090213;28;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090214;15;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090214;15;105;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090215;12;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090215;18;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090216;20;125;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090216;22;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090217;27;205;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090217;36;15;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090218;18;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090218;23;25;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090219;19;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090219;32;10;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090220;12;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090220;19;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090221;12;105;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090221;20;105;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090222;24;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090222;15;25;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090223;26;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090223;21;175;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090224;26;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090224;15;30;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090224;1;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;29AE19BB-DB2A-4A63-A309-2D2957DB7E7B
20090225;23;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090225;21;35;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090226;19;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090226;20;25;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090227;6;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090227;1;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090302;12;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090302;6;5;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090303;10;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090303;12;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090304;18;200;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090304;14;15;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090305;22;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090305;18;55;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090306;11;15;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090306;18;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090307;8;30;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090307;18;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090308;21;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090308;5;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090309;27;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090309;14;30;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090310;13;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090310;24;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090311;8;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090311;23;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090312;21;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090312;22;115;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090313;24;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090313;12;5;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090314;13;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090314;15;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090315;11;115;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090315;21;315;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090316;21;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090316;11;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090317;23;50;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090317;25;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090318;16;15;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090318;22;200;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090319;16;105;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090319;11;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090320;26;40;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090320;24;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090321;13;15;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090321;14;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090322;18;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090322;15;5;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090323;24;105;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090323;13;15;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090324;5;120;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090324;20;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090325;19;30;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090325;18;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090326;24;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090326;16;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090327;12;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090327;27;105;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090328;10;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090328;20;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090329;20;10;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090329;10;15;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090330;13;25;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090330;21;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090331;10;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090331;16;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090401;18;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090401;16;210;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090402;8;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090402;12;40;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090403;12;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090403;15;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090404;8;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090404;20;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090405;10;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090405;14;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090406;22;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090406;16;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090407;20;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090407;135;45;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090407;8;0;30000000-0000-0000-0000-000000000000;36000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090407;34;0;00000000-0000-0000-0000-000000000000;05000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090408;152;85;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090408;48;0;00000000-0000-0000-0000-000000000000;05000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090408;10;0;30000000-0000-0000-0000-000000000000;36000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090408;28;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090409;4;0;00000000-0000-0000-0000-000000000000;05000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090409;35;130;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090409;30;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090410;15;25;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090410;23;200;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090411;13;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090411;28;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090412;7;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090412;22;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090413;27;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090413;6;0;00000000-0000-0000-0000-000000000000;06000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090413;18;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090414;60;0;00000000-0000-0000-0000-000000000000;06000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090414;24;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090414;1;0;30000000-0000-0000-0000-000000000000;36000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090414;3;0;00000000-0000-0000-0000-000000000000;05000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090414;85;35;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090415;7;0;00000000-0000-0000-0000-000000000000;06000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090415;1;0;30000000-0000-0000-0000-000000000000;36000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090415;27;10;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090415;2;0;00000000-0000-0000-0000-000000000000;05000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090415;24;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090416;25;110;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090416;1;0;00000000-0000-0000-0000-000000000000;05000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090416;6;0;00000000-0000-0000-0000-000000000000;06000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090416;23;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090417;12;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090417;1;0;00000000-0000-0000-0000-000000000000;05000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090417;1;0;30000000-0000-0000-0000-000000000000;36000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090417;1;0;20000000-0000-0000-0000-000000000000;24000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090417;22;100;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090418;5;20;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090418;23;105;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090419;20;0;10000000-0000-0000-0000-000000000000;16000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090419;1;0;00000000-0000-0000-0000-000000000000;06000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090419;4;0;00000000-0000-0000-0000-000000000000;01000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
20090420;9;0;00000000-0000-0000-0000-000000000000;06000000-0000-0000-0000-000000000000;00000000-0000-0000-0000-000000000000
